"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"172","cell172",4581,94,150.000000000028,9895684,0.46757687181855,7037198
"173","cell173",773,16,290.008333333234,10519643,1.41156160567538,11779734
"174","cell174",1826,38,40.0083333333317,8708887,1.34465594493758,3817034
"175","cell175",1090,23,30.0083333333323,8563065,1.88439500814056,3707309
"176","cell176",238,5,330.008333333198,11304170,2.00252397274029,15057428
"177","cell177",2427,50,170.00000000001,9290925,0.425223050713413,5457107
"178","cell178",2381,49,200.008333333316,11473995,1.43651309491955,15795930
"179","cell179",3032,62,340.008333333188,11947884,2.03448077806239,20237559
"180","cell180",4297,88,250.00833333327,10421332,1.97065128415389,10936544
"181","cell181",2481,51,220.008333333298,10606626,1.2844239188103,12869751
"182","cell182",2285,47,220.008333333298,9930625,0.741352691771105,7253172
"183","cell183",2578,53,210.008333333307,9753243,0.543716912098109,6342433
"184","cell184",774,16,300.008333333225,10634061,1.65087232386307,12972985
"185","cell185",2592,53,350.008333333179,10599088,0.369065144028998,12722665
"186","cell186",1551,32,230.008333333288,11408528,0.535792630404446,15557657
"187","cell187",1108,23,210.008333333307,10861094,0.759524866149424,13662816
"188","cell188",668,14,220.008333333298,9175740,1.06925354625848,4797967
"189","cell189",4595,94,290.008333333234,11814781,1.0355863585001,18188654
"190","cell190",420,9,190.008333333325,10384100,1.30540246183173,10570778
"191","cell191",4204,86,300.008333333225,11758667,0.550162955614898,17379760
"192","cell192",3944,81,150.000000000028,9081025,1.4880570529949,4495556
"193","cell193",4301,88,290.008333333234,11179391,1.49477124383072,14677241
"194","cell194",2508,52,0,8293008,1.41910972737013,2836655
"195","cell195",2427,50,170.00000000001,9290925,0.462815668331941,5457224
"196","cell196",2770,57,170.00000000001,10911362,1.34091403270898,13761900
"197","cell197",3561,73,240.008333333279,10703447,0.663776013661058,13227924
"198","cell198",917,19,260.008333333261,9492810,0.570567854694729,5560908
"199","cell199",869,18,270.008333333252,10024998,1.41749348236916,7732424
"200","cell200",1744,36,200.008333333316,9983442,1.2923774683381,7663387
"201","cell201",3049,63,20.0083333333328,8366017,0.754250444020074,2916503
"202","cell202",4402,90,320.008333333207,10390528,1.25557920428367,10641501
"203","cell203",3557,73,200.008333333316,9319227,1.59221989681281,5470943
"204","cell204",2298,47,350.008333333179,12026239,0.445858148256284,21629968
