"","comp_1","comp_2","comp_3"
"cell42",0.0832298910700175,0.067395858664405,-0.022271174332224
"cell43",-0.100856258896791,0.0521846519828123,0.00816592563203025
"cell44",-0.0711705141546165,0.134935273317546,0.0345320248556694
"cell45",-0.0220525165623485,0.134384524470929,0.0294972882838781
"cell46",0.23488354811929,-0.0597084362450918,-0.00268993544958754
"cell47",-0.151780094353934,0.0369427477779488,0.0245222805543801
"cell48",0.146400826845295,-0.126697448664878,0.0112279460348691
"cell49",0.0873974498610769,0.0652228430617319,-0.0229283924580095
"cell50",0.0719680691018926,0.0716319458082159,-0.0521571444289953
"cell51",-0.239797870331336,-0.051566122357172,-0.0314854947428766
"cell52",-0.133481505777321,-0.00652062761923434,-0.0505552795784836
"cell53",0.19122610010484,-0.124338374498772,-0.0333159555691489
"cell54",-0.140288088910308,-0.0132590209222944,0.0115629683321695
"cell55",-0.238128959197801,-0.0459929365383612,-0.0316732846152385
"cell56",-0.231976467281086,-0.047635132825875,-0.0349420913903706
"cell57",0.018070311077281,-0.134437979379009,0.0366570248339741
"cell58",0.0984725907509124,0.0579803406032625,-0.0252780462011569
"cell59",0.234771630674292,-0.0398938276443359,0.0132278583920337
"cell60",-0.0134348158746632,0.131365736304007,0.0241316462067829
"cell61",-0.234258270550091,-0.0559875722881358,-0.014957862421089
"cell62",0.0868136526518366,-0.134422343268542,0.0611220700061852
"cell63",-0.0777699894110396,0.11298317816469,0.0326892418413653
"cell64",0.161637788784707,-0.0835029777168528,-0.0281478282026328
"cell65",0.22643277941544,0.0466451380225955,0.0413733035501356
"cell66",-0.0255256218117508,0.137330862567653,0.0304809553957401
"cell67",-0.0636019247922078,0.140582269836127,0.0345714969508511
"cell68",0.165200961243337,-0.123229405104622,-0.0163200127871756
"cell69",0.0933294463176482,-0.12756457428859,0.0278635964969396
"cell70",-0.0740528598394165,0.119694217081919,0.0304968440338351
"cell71",-0.0360753473910359,0.131755140428547,0.028209569297261
"cell72",-0.153721274347838,-0.0956970132704084,0.0175864632041627
"cell73",0.0586770431779162,0.0985149816081535,-0.00156623040402416
"cell74",0.248458056602183,0.0163910462589949,0.0438427925366811
"cell75",0.00917111931364945,-0.129702731950982,0.0191944972605079
"cell76",-0.138629482436323,-0.0984241338749636,0.0270557576264181
"cell77",0.126981086214017,-0.114048894855645,-0.0212882475458177
"cell78",0.0770823054741889,0.0631537176415713,-0.0313047121870572
"cell79",0.206466168761796,-0.102578911258577,-0.0196286174742796
"cell80",-0.0298975241004238,-0.0632207592936052,0.0233117814965712
"cell81",0.213940232295968,-0.0978224672742631,-0.0138474195551373
"cell82",-0.0487422715998458,0.135986922768134,0.0300839704932445
"cell83",0.0449868559327172,0.11364226059113,0.00253777783112823
"cell84",-0.0505022059657265,0.135243331835545,0.0318420336874277
"cell85",-0.0378522431428766,-0.0950971773466523,0.0239286232957972
"cell86",-0.0212973333633202,0.124904242746538,0.0280822306258798
"cell87",-0.0296795705166938,-0.120441011013825,0.068726848180405
"cell88",0.150381083133518,-0.124669516128521,0.00753792545170356
"cell89",-0.0958154621983383,0.065020459286764,0.0339792720567997
"cell90",0.0722113759393664,0.0741304962591001,-0.0527377388420605
"cell91",-0.0711461169222551,0.136285788630337,0.0327869722225275
"cell92",-0.0918581702789451,-0.111725440050162,0.0119555143662349
"cell93",-0.156984811379364,-0.0186101376941943,-0.0308358534673761
"cell94",-0.123283211931656,0.0788182841846156,0.0285073572168153
"cell95",-0.227929183938554,-0.0470270169224082,-0.0258785539253723
"cell96",0.218402876256403,-0.0910233923275595,-0.0111260198289932
"cell97",-0.163599581144752,-0.0301400260909204,-0.0142549937006744
"cell98",-0.239651604545615,-0.061142815325126,-0.0205321584710909
"cell99",-0.00338888463769423,0.125876541045538,0.0239380631478567
"cell100",-0.0618445306424662,0.140172341003147,0.039353033260133
"cell101",-0.0164015266767307,-0.121416152823188,0.0461294598278385
"cell102",-0.0771464966279665,0.137116477949213,0.0342169205946827
"cell103",0.0382984621047872,0.119545697485728,0.0138898638754686
"cell104",-0.235485595295001,-0.0604900136238558,-0.0392818242678975
"cell105",-0.223454947328149,-0.0457106441646201,-0.03418694700659
"cell106",0.226038565218733,-0.0100191740155798,0.0312594477853826
"cell107",0.20755121700243,-0.0853170114416077,-0.00773626584218687
"cell108",0.0437581512111915,0.117502575639839,0.0126748186472861
"cell109",0.130396041557644,0.0577521524538816,-0.0180925419577106
"cell110",0.0705461928268524,0.0666873371871535,-0.0427443271969752
"cell111",0.0184538769976547,0.122367848586647,0.0193912777347992
"cell112",-0.226903816178074,-0.039231283886653,-0.0359442369942708
"cell113",-0.0808447153728214,0.0822019434526843,0.0288508677280395
"cell114",-0.150994297294137,-0.0216829075216743,-0.0143785204877298
"cell115",-0.0342395220668895,-0.0374294466733853,-0.0205400074176106
"cell116",0.158500155419859,-0.127225040852585,0.00594675284018436
"cell117",0.168107991608131,-0.116599951613672,-0.00616672218487415
"cell118",-0.075545215949495,0.114555073617761,0.0297854679694403
"cell119",-0.0602410797202055,0.131993564105228,0.027683387889692
"cell120",-0.0607520925007565,0.135705469238591,0.0353441595523927
"cell121",-0.0989709762046005,-0.0936041030559698,0.0114950082508776
"cell122",-0.232871262093915,-0.051726269661656,-0.0208442260365632
"cell123",0.0746964121628002,0.0847395210286185,-0.0220902376812749
"cell124",-0.236062755404484,-0.0536735640908102,-0.022817069380713
"cell125",0.157376523202284,-0.124119617203928,-0.00572352646677312
"cell126",0.148529307569445,-0.126317149976004,0.00349035593897111
"cell127",0.208452726707349,-0.100133336262549,-0.0117871646999233
"cell128",-0.0853063648586534,-0.129477084836936,0.0466754323801724
"cell129",0.23201272163441,0.0427903435303369,0.0455210695823325
"cell130",0.232143952479272,-0.0343549855412624,0.0102873243055024
"cell131",-0.0337249393624717,-0.141650426933384,0.0431870898751508
"cell132",0.0172887533097769,-0.08288185481681,0.022419714604055
"cell133",-0.0262766604597267,0.139118874790271,0.0278286259668634
"cell134",0.0279968973211101,-0.146398796786806,0.0550151451861018
"cell135",-0.025434673358864,0.138409256965536,0.0277089867394127
"cell136",0.233426036349425,-0.00738781958192494,0.0334068688536317
"cell137",0.194287588869649,-0.0581327016955343,-0.00398009767666493
"cell138",0.0729842734191895,0.112832652056298,-0.015712337252776
"cell139",0.202279365770581,0.04280704825297,0.0252797901574973
"cell140",0.0808902721282756,0.103460698750649,-0.0238666713883542
"cell141",0.111197959454282,-0.117741321563929,0.0338763220155258
"cell142",-0.069256516716338,0.143743459020971,0.0363186760007456
"cell143",0.0765596146446251,0.06554182328922,-0.0322185752363982
"cell144",0.0719315971261807,0.0739524095979977,-0.0511895308668404
"cell145",0.124026453042605,-0.105092081634506,0.00916619483533585
"cell146",0.210409705986904,-0.105812493994393,-0.022644665499116
"cell147",-0.217359785759514,-0.0504585707118612,-0.0268237650228062
"cell148",0.075288603413539,0.0910432917564997,-0.0276014737970878
"cell149",-0.0251555170528606,0.129304308314436,0.0294110478672576
"cell150",0.0998518466983164,0.0700823954871573,-0.0214645820813767
"cell151",-0.138671809076565,-0.0137731440937431,-0.0159745627732992
"cell152",-0.240088435429333,-0.0577591079683581,-0.0341866703652956
"cell153",0.0778367599326899,0.0830232333476116,-0.0257930325743666
"cell154",0.133079921445839,-0.0939447783244733,0.0108377070283427
"cell155",-0.089771658074397,-0.0258954923954075,-0.0365698448946703
"cell156",0.193962055649252,-0.135549620002863,-0.0250987770165093
"cell157",-0.226555755248313,-0.0517178095065513,-0.030643686007003
"cell158",-0.121725965721641,-0.0832158404775093,0.0128414227477609
